((('19', '215'), ('11',)), 0.6268656716417911)
((('201', '240'), ('43',)), 0.5769230769230769)
((('240', '43'), ('201',)), 0.5769230769230769)
((('859', '440'), ('443',)), 0.6451612903225806)
((('859', '443'), ('440',)), 0.6666666666666666)
((('201', '17'), ('11',)), 0.7065217391304348)
((('22', '586'), ('73',)), 0.5161290322580645)
((('73', '586'), ('22',)), 0.7619047619047619)
((('144', '23'), ('11',)), 0.7619047619047619)
((('61', '43'), ('73',)), 0.5333333333333333)
((('61', '73'), ('43',)), 0.8421052631578947)
((('201', '337'), ('11',)), 0.5405405405405406)
((('137', '423'), ('24',)), 0.6153846153846154)
((('137', '24'), ('423',)), 0.5714285714285714)
((('337', '17'), ('12',)), 0.5517241379310345)
((('22', '423'), ('19',)), 0.5625)
((('129', '19'), ('11',)), 0.5955882352941176)
((('129', '11'), ('19',)), 0.5094339622641509)
((('294', '24'), ('17',)), 0.8333333333333334)
((('338', '423'), ('19',)), 0.6153846153846154)
((('19', '17'), ('24',)), 0.6136363636363636)
((('19', '24'), ('17',)), 0.5578512396694215)
((('139', '198'), ('129',)), 0.5517241379310345)
((('22', '159'), ('73',)), 0.6923076923076923)
((('159', '73'), ('22',)), 0.6666666666666666)
((('19', '14'), ('11',)), 0.8979591836734694)
((('14', '11'), ('19',)), 0.5301204819277109)
((('23', '159'), ('19',)), 0.84)
((('201', '43'), ('11',)), 0.7592592592592593)
((('22', '159'), ('193',)), 0.5769230769230769)
((('22', '193'), ('159',)), 0.6818181818181818)
((('159', '193'), ('22',)), 0.6521739130434783)
((('159', '423'), ('215',)), 0.5555555555555556)
((('159', '215'), ('423',)), 0.7894736842105263)
((('512', '504'), ('212',)), 0.625)
((('512', '212'), ('504',)), 0.5555555555555556)
((('395', '423'), ('24',)), 0.68)
((('395', '24'), ('423',)), 0.5483870967741935)
((('442', '440'), ('439',)), 0.5151515151515151)
((('442', '439'), ('440',)), 0.5862068965517241)
((('440', '439'), ('442',)), 0.5666666666666667)
((('129', '139'), ('201',)), 0.5714285714285714)
((('201', '139'), ('129',)), 0.6666666666666666)
((('23', '443'), ('13',)), 0.8387096774193549)
((('443', '13'), ('23',)), 0.5416666666666666)
((('139', '395'), ('19',)), 0.7894736842105263)
((('22', '586'), ('19',)), 0.6451612903225806)
((('139', '73'), ('19',)), 0.6875)
((('198', '209'), ('11',)), 0.6875)
((('209', '11'), ('198',)), 0.5)
((('270', '456'), ('271',)), 0.5172413793103449)
((('294', '296'), ('17',)), 0.59375)
((('294', '17'), ('296',)), 0.5)
((('296', '17'), ('294',)), 0.59375)
((('139', '12'), ('19',)), 0.6923076923076923)
((('61', '43'), ('11',)), 0.6)
((('61', '11'), ('43',)), 0.6923076923076923)
((('19', '925'), ('11',)), 0.5)
((('925', '11'), ('19',)), 0.5862068965517241)
((('23', '586'), ('13',)), 0.5161290322580645)
((('19', '23'), ('24',)), 0.6075949367088608)
((('23', '24'), ('19',)), 0.6666666666666666)
((('22', '586'), ('24',)), 0.5161290322580645)
((('201', '283'), ('17',)), 0.7894736842105263)
((('129', '144'), ('24',)), 0.5151515151515151)
((('144', '24'), ('129',)), 0.7727272727272727)
((('129', '440'), ('443',)), 0.5294117647058824)
((('129', '443'), ('440',)), 0.8181818181818182)
((('231', '17'), ('11',)), 0.5357142857142857)
((('201', '438'), ('12',)), 0.5)
((('12', '438'), ('201',)), 0.5172413793103449)
((('240', '43'), ('13',)), 0.7307692307692307)
((('240', '13'), ('43',)), 0.5135135135135135)
((('642', '17'), ('13',)), 0.5882352941176471)
((('642', '13'), ('17',)), 0.625)
((('19', '17'), ('11',)), 0.7681818181818182)
((('159', '11'), ('144',)), 0.68)
((('23', '17'), ('24',)), 0.5740740740740741)
((('337', '43'), ('11',)), 0.72)
((('23', '12'), ('24',)), 0.5675675675675675)
((('22', '13'), ('12',)), 0.7083333333333334)
((('703', '440'), ('552',)), 0.7894736842105263)
((('129', '440'), ('201',)), 0.6764705882352942)
